Pe,T,kappa,H_free,lp_free,lp_free_error,lp_free_R2,lp_free_individual,lp_free_individual_std,tau_decorr_free,tau_decorr_free_error,D_long,D_long_error,D_long_R2,D_long_n_points,H_conf,lp_conf,lp_conf_error,lp_conf_R2,lp_conf_individual,ttrap,ttrap_std,tau_decorr_cavity,transloc_rate_per_hour,transloc_success_rate,transloc_n_success,transloc_n_attempts,transloc_total_events,N_rot,tau_eff,tau_star,tau_geom,tau_0,tau_rot,D_r,mobility
0.1,0.1,0.4,5.990474,0.134265,0.0125,0.98643,0.195883,0.153391,51.709953,0.5,0.301506,3e-05,0.999998,201.0,5.242352,0.092514,0.0125,0.972283,,1.516667,0.0,5.155,43.438914,92.307692,24.0,2.0,26.0,2.021,0.33,0.53,0.63,0.65,0.16,6.0624,3.0303030303030303
0.1,0.1,0.4,5.990474,0.134265,0.0125,0.98643,0.195883,0.153391,51.709953,0.5,0.301506,3e-05,0.999998,201.0,5.242352,0.092514,0.0125,0.972283,,1.516667,0.0,5.155,43.438914,92.307692,24.0,2.0,26.0,20.46,2.52,2.52,2.52,0.9,0.12,8.1298,0.3968253968253968
0.1,0.1,0.4,5.990474,0.134265,0.0125,0.98643,0.195883,0.153391,51.709953,0.5,0.301506,3e-05,0.999998,201.0,5.242352,0.092514,0.0125,0.972283,,1.516667,0.0,5.155,43.438914,92.307692,24.0,2.0,26.0,2.021,0.33,0.53,0.63,0.65,0.16,6.0624,3.0303030303030303
0.1,0.1,0.4,5.990474,0.134265,0.0125,0.98643,0.195883,0.153391,51.709953,0.5,0.301506,3e-05,0.999998,201.0,5.242352,0.092514,0.0125,0.972283,,1.516667,0.0,5.155,43.438914,92.307692,24.0,2.0,26.0,20.46,2.52,2.52,2.52,0.9,0.12,8.1298,0.3968253968253968
0.1,0.1,0.5,,,,,,,,,,,,,5.413553,0.199034,0.0125,0.640001,,4.583122,4.261477,16.692,46.227929,95.522388,64.0,3.0,67.0,1.958,0.3,0.43,0.5,0.63,0.15,6.5257,3.3333333333333335
0.1,0.1,0.6,5.857577,0.168766,0.0125,0.987847,0.260227,0.194647,54.039528,0.5,0.374171,0.000417,0.999753,201.0,5.199329,,,,,3.687255,4.020934,16.672,,,,,,5.57,0.28,0.42,0.47,0.67,0.05,19.66,3.571428571428571
0.1,0.1,0.65,,,,,,,,,,,,,5.200986,0.26321,0.0125,0.417358,,4.897588,5.043534,17.834,48.233861,92.957746,66.0,5.0,71.0,2.201,0.27,0.38,0.43,0.62,0.12,8.2546,3.7037037037037033
0.1,0.15,0.15,,,,,,,,,,,,,4.062031,0.069229,0.0125,0.981302,,1.545833,0.326138,13.663,,,,,,14.956,2.1,2.12,2.12,0.73,0.14,7.1218,0.4761904761904761
0.1,0.15,0.2,5.69567,0.091828,0.0125,0.989064,0.109833,0.072438,43.576067,0.5,0.135071,0.000181,0.999644,201.0,4.804365,0.097353,0.0125,0.987296,,1.455555,0.598455,17.193,6.378738,17.021277,8.0,39.0,47.0,1.529,0.5,6.65,12.35,0.82,0.33,3.0584,2.0
0.1,0.15,0.25,5.69567,0.091828,0.0125,0.989064,0.109833,0.072438,43.576067,0.5,0.135071,0.000181,0.999644,201.0,4.611397,0.097353,0.0125,0.987296,,1.455555,0.598455,17.193,6.378738,17.021277,8.0,39.0,47.0,2.222,0.5,0.88,0.88,0.38,0.23,4.4432,2.0
